county,constituency,ward,no_of_polling_station,no_of_registered_voters
KISII,NYARIBARI CHACHE,KEUMBU,21,10022
NAKURU,NJORO,KIHINGO,21,10237
NANDI,CHESUMEI,KIPTUYA,21,10514
KAKAMEGA,KHWISERO,KISA WEST,21,10815
KERICHO,KIPKELION WEST,KUNYAK,21,8876
MOMBASA,LIKONI,LIKONI,21,13273
MARSABIT,LAISAMIS,LOIYANGALANI,21,7669
KAKAMEGA,BUTERE,MARAMA SOUTH,21,11358
KAKAMEGA,BUTERE,MARENYO - SHIANDA,21,10996
TAITA TAVETA,TAVETA,MBOGHONI,21,8103
UASIN GISHU,SOY,MOI'S BRIDGE,21,12754
NAIROBI CITY,DAGORETTI SOUTH,MUTU-INI,21,13484
VIHIGA,LUANDA,MWIBONA,21,10132
TURKANA,TURKANA NORTH,NAKALALE,21,6435
BUNGOMA,TONGAREN,NDALU/ TABANI,21,11250
NAROK,NAROK NORTH,NKARETA,21,9611
NYANDARUA,KINANGOP,NORTH KINANGOP,21,11265
MIGORI,KURIA EAST,NYABASI EAST,21,8930
LAIKIPIA,LAIKIPIA WEST,OL-MORAN,21,10012
NAKURU,NAKURU TOWN WEST,RHODA,21,14108
WAJIR,TARBAJ,SARMAN,21,7416
ELGEYO/MARAKWET,MARAKWET WEST,SENGWER,21,9603
TRANS NZOIA,KIMININI,SIRENDE,21,12311
NAROK,NAROK SOUTH,SOGOO,21,10072
SIAYA,RARIEDA,SOUTH UYOMA,21,11140
SAMBURU,SAMBURU WEST,SUGUTA MARMAR,21,7199
SAMBURU,SAMBURU EAST,WASO,21,6707
WAJIR,WAJIR WEST,ADAMASAJIDE,22,6541
BUSIA,TESO NORTH,ANG'URAI SOUTH,22,9821
TANA RIVER,BURA,BANGALE,22,10129
KISII,BOBASI,BOBASI BOITANGARE,22,10469
KISII,SOUTH MUGIRANGO,BOIKANG'A,22,10127
NYAMIRA,NORTH MUGIRANGO,BOMWAGAMO,22,10152
KAKAMEGA,NAVAKHOLO,BUNYALA EAST,22,11126
MARSABIT,MOYALE,BUTIYE,22,9614
BUSIA,FUNYULA,BWIRI,22,11320
KIAMBU,KIAMBAA,CIANDA,22,12842
KIRINYAGA,MWEA,GATHIGIRIRI,22,11993
MIGORI,SUNA EAST,GOD JOPE,22,10344
MARSABIT,MOYALE,HEILLU/MANYATTA,22,10431
GARISSA,IJARA,HULUGHO,22,6266
KILIFI,MALINDI,JILORE,22,10464
KIAMBU,LARI,KAMBURU,22,12018
NANDI,EMGWEN,KAPKANGANI,22,9571
NAROK,EMURUA DIKIRR,KAPSASIAN,22,9952
KERICHO,BELGUT,KAPSUSER,22,11456
BUNGOMA,KIMILILI,MAENI,22,11452
KILIFI,KALOLENI,MWANAMWINGA,22,10785
KIAMBU,RUIRU,MWIHOKO,22,14086
MANDERA,MANDERA EAST,NEBOI,22,11840
UASIN GISHU,KAPSERET,NGERIA,22,11103
MIGORI,RONGO,NORTH KAMAGAMBO,22,10426
KISII,KITUTU CHACHE SOUTH,NYAKOE,22,12178
KISUMU,KISUMU EAST,NYALENDA 'A',22,13765
KILIFI,RABAI,RURUMA,22,12058
BARINGO,BARINGO CENTRAL,SACHO,22,6205
GARISSA,BALAMBALA,SAKA,22,5413
UASIN GISHU,MOIBEN,SERGOIT,22,10267
KERICHO,SIGOWET/SOIN,SOLIAT,22,9682
VIHIGA,VIHIGA,SOUTH MARAGOLI,22,11192
NAROK,NAROK EAST,SUSWA,22,11180
GARISSA,GARISSA TOWNSHIP,TOWNSHIP,22,13419
GARISSA,GARISSA TOWNSHIP,WABERI,22,11657
KIRINYAGA,MWEA,WAMUMU,22,12249
NAROK,KILGORIS,ANGATA BARIKOI,23,10634
VIHIGA,HAMISI,BANJA,23,11950
BUSIA,NAMBALE,BUKHAYO EAST,23,11614
VIHIGA,VIHIGA,CENTRAL MARAGOLI,23,13114
KERICHO,BELGUT,CHAIK,23,10584
TANA RIVER,BURA,CHEWELE,23,8109
MANDERA,MANDERA WEST,DANDU,23,9544
NYERI,NYERI TOWN,GATITU/MURUGURU,23,11363
NYANDARUA,KIPIPIRI,GETA,23,11098
VIHIGA,HAMISI,GISAMBAI,23,10216
WAJIR,WAJIR WEST,HADADO/ATHIBOHOL,23,7818
KAKAMEGA,IKOLOMANI,IDAKHO SOUTH,23,10404
KAKAMEGA,SHINYALU,ISUKHA NORTH,23,11965
MURANG'A,GATANGA,ITHANGA,23,11310
VIHIGA,HAMISI,JEPKOYAI,23,10933
KILIFI,RABAI,KAMBE/RIBE,23,11119
HOMA BAY,KARACHUONYO,KANYALUO,23,11255
ELGEYO/MARAKWET,KEIYO SOUTH,KAPTARAKWA,23,10426
TURKANA,TURKANA EAST,KATILIA,23,6357
NAROK,NAROK EAST,KEEKONYOKIE,23,11121
NAROK,KILGORIS,KEYIAN,23,10241
MERU,TIGANIA EAST,KIGUCHWA,23,11544
MAKUENI,KIBWEZI WEST,KIKUMBULYU NORTH,23,9889
MANDERA,BANISSA,KILIWEHIRI,23,7758
KAJIADO,KAJIADO SOUTH,KIMANA,23,11579
ISIOLO,ISIOLO SOUTH,KINNA,23,8885
KAKAMEGA,KHWISERO,KISA NORTH,23,10810
WAJIR,WAJIR SOUTH,LAGBOGHOL SOUTH,23,7541
TANA RIVER,BURA,MADOGO,23,7884
MOMBASA,KISAUNI,MAGOGONI,23,15105
KISUMU,KISUMU EAST,MANYATTA 'B',23,15095
BUSIA,BUTULA,MARACHI EAST,23,11105
KAKAMEGA,BUTERE,MARAMA NORTH,23,10961
WEST POKOT,SIGOR,MASOOL,23,8187
GARISSA,LAGDERA,MODOGASHE,23,6388
KILIFI,KILIFI SOUTH,MWARAKAYA,23,12714
NYERI,KIENI,MWEIGA,23,12064
TANA RIVER,BURA,SALA,23,8806
LAIKIPIA,LAIKIPIA WEST,SALAMA,23,9648
NANDI,MOSOP,SANGALO/KEBULONIK,23,10449
KAKAMEGA,LIKUYANI,SANGO,23,12022
MANDERA,MANDERA SOUTH,SHIMBIR FATUMA,23,7853
VIHIGA,HAMISI,SHIRU,23,12686
TRANS NZOIA,CHERANGANY,SINYERERE,23,11603
KISUMU,NYAKACH,SOUTH WEST NYAKACH,23,10003
UASIN GISHU,SOY,SOY,23,11500
BARINGO,BARINGO CENTRAL,TENGES,23,6020
WAJIR,WAJIR EAST,TOWNSHIP,23,10065
MARSABIT,NORTH HORR,TURBI,23,6677
MIGORI,SUNA WEST,WASIMBETE,23,10771
VIHIGA,SABATIA,WEST SABATIA,23,11930
VIHIGA,SABATIA,WODANGA,23,11351
GARISSA,DADAAB,ABAKAILE,24,9331
KERICHO,AINAMOI,AINAMOI,24,10473
NAIROBI CITY,KAMUKUNJI,AIRBASE,24,16352
BUSIA,TESO SOUTH,AMUKURA EAST,24,11549
BUSIA,TESO NORTH,ANG'URAI NORTH,24,10148
NAKURU,NAIVASHA,BIASHARA,24,11915
KIAMBU,LIMURU,BIBIRIONI,24,14044
KISII,KITUTU CHACHE SOUTH,BOGUSERO,24,12271
KISII,BOMACHOGE BORABU,BOMBABA BORABU,24,12474
BUNGOMA,KANDUYI,BUKEMBE WEST,24,10831
BUSIA,NAMBALE,BUKHAYO NORTH/WALTSI,24,10945
BUSIA,BUDALANGI,BUNYALA SOUTH,24,9807
KAKAMEGA,LURAMBI,BUTSOTSO EAST,24,11165
KAKAMEGA,LUGARI,CHEKALINI,24,11992
NANDI,EMGWEN,CHEPKUMIA,24,9736
KERICHO,BELGUT,CHEPTORORIET/SERETUT,24,11964
BUNGOMA,MT. ELGON,CHESIKAKI,24,11375
BARINGO,TIATY,CHURO/AMAYA,24,6244
KILIFI,KILIFI NORTH,DABASO,24,13717
WAJIR,ELDAS,ELNUR/TULA TULA,24,9098
BARINGO,BARINGO CENTRAL,EWALEL/CHAPCHAP,24,9551
TANA RIVER,GARSEN,GARSEN SOUTH,24,9990
TRANS NZOIA,KIMININI,HOSPITAL,24,14565
NAROK,NAROK EAST,ILDAMAT,24,10070
TURKANA,TURKANA NORTH,KAALENG/KAIKOR,24,8148
MIGORI,NYATIKE,KACHIEN'G,24,10551
TANA RIVER,GALOLE,KINAKOMBA,24,8318
KISII,NYARIBARI CHACHE,KIOGORO,24,10510
TANA RIVER,GARSEN,KIPINI WEST,24,9180
NYANDARUA,NDARAGWA,KIRIITA,24,12977
KAKAMEGA,KHWISERO,KISA EAST,24,10385
NAKURU,NAKURU TOWN EAST,KIVUMBINI,24,14199
BARINGO,ELDAMA RAVINE,KOIBATEK,24,7763
MACHAKOS,MACHAKOS TOWN,KOLA,24,10975
NANDI,MOSOP,KURGUNG/SURUNGAI,24,10626
BUSIA,BUTULA,MARACHI WEST,24,11575
NAKURU,MOLO,MARIASHONI,24,9669
MIGORI,KURIA WEST,MASABA,24,9214
NYAMIRA,BORABU,MEKENENE,24,10730
LAMU,LAMU WEST,MKOMANI,24,12571
MOMBASA,LIKONI,MTONGWE,24,13937
LAIKIPIA,LAIKIPIA NORTH,MUGOGODO WEST,24,6436
BARINGO,ELDAMA RAVINE,MUMBERES/MAJI MAZURI,24,11165
KIAMBU,KIKUYU,NACHU,24,14044
NANDI,MOSOP,NDALAT,24,11127
MIGORI,AWENDO,NORTH SAKWA,24,11768
SIAYA,RARIEDA,NORTH UYOMA,24,13158
MERU,IGEMBE NORTH,NTUNENE,24,11829
MIGORI,KURIA EAST,NYABASI WEST,24,10865
NANDI,NANDI HILLS,OL'LESSOS,24,11254
NAROK,NAROK NORTH,OLPUSIMORU,24,9260
MANDERA,MANDERA NORTH,RHAMU-DIMTU,24,9187
MURANG'A,KANGEMA,RWATHIA,24,12852
KAKAMEGA,LIKUYANI,SINOKO,24,12345
TRANS NZOIA,CHERANGANY,SITATUNGA,24,13603
WEST POKOT,KAPENGURIA,SIYOI,24,8279
BUNGOMA,BUMULA,SOUTH BUKUSU,24,11587
VIHIGA,HAMISI,TAMBUA,24,10913
NYAMIRA,WEST MUGIRANGO,TOWNSHIP,24,15018
SAMBURU,SAMBURU EAST,WAMBA EAST,24,8017
BUSIA,TESO SOUTH,AMUKURA CENTRAL,25,12326
LAMU,LAMU WEST,BAHARI,25,11036
KISII,NYARIBARI CHACHE,BIRONGO,25,11320
ISIOLO,ISIOLO NORTH,BULLA PESA,25,15125
BUSIA,BUDALANGI,BUNYALA NORTH,25,13637
VIHIGA,SABATIA,BUSALI,25,11817
HOMA BAY,KARACHUONYO,CENTRAL,25,12560
SIAYA,GEM,CENTRAL GEM,25,13633
MIGORI,URIRI,CENTRAL KANYAMKAGO,25,10295
HOMA BAY,RANGWE,EAST GEM,25,13448
KITUI,KITUI EAST,ENDAU/MALALANI,25,7897
TANA RIVER,GARSEN,GARSEN NORTH,25,9130
NYERI,KIENI,GATARAKWA,25,12086
EMBU,MANYATTA,GATURI SOUTH,25,10512
HOMA BAY,SUBA NORTH,GEMBE,25,9941
KIAMBU,RUIRU,GITOTHUA,25,16154
MIGORI,NYATIKE,GOT KACHOLA,25,10923
HOMA BAY,HOMA BAY TOWN,HOMA BAY ARUJO,25,13283
NYERI,KIENI,KABARU,25,13280
ELGEYO/MARAKWET,KEIYO SOUTH,KABIEMIT,25,10136
NANDI,ALDAI,KABWARENG,25,11616
MURANG'A,KIGUMO,KAHUMBU,25,11652
NYANDARUA,OL KALOU,KAIMBAGA,25,13540
TURKANA,TURKANA CENTRAL,KALOKOL,25,9179
EMBU,MBEERE SOUTH,KIAMBERE,25,8569
KISII,NYARIBARI MASABA,KIAMOKAMA,25,12392
NAROK,KILGORIS,KIMINTET,25,10401
NANDI,MOSOP,KIPKAREN,25,11748
KAKAMEGA,LIKUYANI,KONGONI,25,14564
MARSABIT,LAISAMIS,KORR/NGURUNIT,25,9392
MANDERA,MANDERA SOUTH,KUTULO,25,7123
SAMBURU,SAMBURU WEST,LODOKEJEK,25,7458
NAROK,NAROK SOUTH,LOITA,25,11350
VIHIGA,LUANDA,LUANDA SOUTH,25,11484
BUSIA,TESO NORTH,MALABA SOUTH,25,10413
BUSIA,BUTULA,MARACHI CENTRAL,25,11685
KILIFI,MAGARINI,MARAFA,25,9026
MERU,TIGANIA WEST,MBEU,25,10384
KAJIADO,KAJIADO SOUTH,MBIRIKANI/ESELENKEI,25,10725
NYANDARUA,OL KALOU,MIRANGINE,25,14695
LAMU,LAMU WEST,MKUNUMBI,25,8866
ELGEYO/MARAKWET,MARAKWET WEST,MOIBEN/KUSERWO,25,10775
KISII,SOUTH MUGIRANGO,MOTICHO,25,12699
MIGORI,NYATIKE,MUHURU,25,10183
NYERI,MUKURWEINI,MUKURWE-INI WEST,25,12801
BARINGO,BARINGO SOUTH,MUKUTANI,25,5272
MACHAKOS,MACHAKOS TOWN,MUMBUNI NORTH,25,13778
KAKAMEGA,SHINYALU,MURHANDA,25,12994
BOMET,BOMET CENTRAL,MUTARAKWA,25,11295
NAROK,NAROK WEST,NAIKARRA,25,12941
BUSIA,FUNYULA,NANGINA,25,12527
MURANG'A,KANDARA,NG'ARARIA,25,13776
MARSABIT,NORTH HORR,NORTH HORR,25,8547
MIGORI,KURIA WEST,NYAMOSENSE/KOMOSOKO,25,11203
NAROK,NAROK NORTH,OLOKURTO,25,11038
BARINGO,ELDAMA RAVINE,RAVINE,25,11047
MERU,BUURI,RUIRI/RWARERA,25,11521
NYERI,NYERI TOWN,RURING'U,25,13780
TRANS NZOIA,SABOTI,SABOTI,25,14202
KISII,BOBASI,SAMETA/MOKWERERO,25,11884
LAIKIPIA,LAIKIPIA NORTH,SEGERA,25,11570
KAKAMEGA,NAVAKHOLO,SHINOYI-SHIKOMARI-ESUMEYIA,25,11689
ELGEYO/MARAKWET,KEIYO SOUTH,SOY NORTH,25,9194
KIAMBU,KIAMBU,TING'ANG'A,25,14457
LAIKIPIA,LAIKIPIA EAST,UMANDE,25,12220
MIGORI,SUNA WEST,WASWETA II,25,12007
KAKAMEGA,MALAVA,WEST KABRAS,25,11699
MIGORI,AWENDO,WEST SAKWA,25,11831
NAIROBI CITY,STAREHE,ZIWANI/KARIOKOR,25,16790
WAJIR,WAJIR WEST,ARBAJAHAN,26,8593
BUNGOMA,KANDUYI,BUKEMBE EAST,26,13035
ISIOLO,ISIOLO NORTH,BURAT,26,13195
NAIROBI CITY,KAMUKUNJI,CALIFORNIA,26,17492
NANDI,MOSOP,CHEPTERWAI,26,9837
ELGEYO/MARAKWET,MARAKWET WEST,CHERANG'ANY/CHEBORORWA,26,9679
GARISSA,DADAAB,DAMAJALE,26,9760
WAJIR,WAJIR SOUTH,DIIF,26,11282
MARSABIT,NORTH HORR,DUKANA,26,8075
ELGEYO/MARAKWET,MARAKWET EAST,EMBOBUT / EMBULOT,26,7625
NYANDARUA,OL JOROK,GATHANJI,26,12792
NYANDARUA,OL JOROK,GATIMU,26,14875
KIAMBU,RUIRU,GATONGORA,26,15760
NYERI,MUKURWEINI,GIKONDI,26,12644
NYANDARUA,KINANGOP,GITHABAI,26,11473
MANDERA,MANDERA WEST,GITHER,26,8922
MURANG'A,MARAGWA,ICHAGAKI,26,13524
MERU,SOUTH IMENTI,IGOJI WEST,26,12496
KAJIADO,KAJIADO WEST,ILOODOKILANI,26,9476
NYAMIRA,NORTH MUGIRANGO,ITIBO,26,13950
NAIROBI CITY,ROYSAMBU,KAHAWA,26,17428
KIAMBU,RUIRU,KAHAWA WENDANI,26,17183
TURKANA,TURKANA WEST,KAKUMA,26,12153
KERICHO,BURETI,KAPKATET,26,12304
UASIN GISHU,TURBO,KAPSAOS,26,16119
ELGEYO/MARAKWET,MARAKWET EAST,KAPYEGO,26,8415
KIAMBU,KIKUYU,KARAI,26,15710
HOMA BAY,KARACHUONYO,KENDU BAY TOWN,26,13350
BUNGOMA,KANDUYI,KHALABA,26,14167
KIAMBU,GATUNDU SOUTH,KIAMWANGI,26,13808
KWALE,MSAMBWENI,KINONDO,26,13463
MOMBASA,CHANGAMWE,KIPEVU,26,16132
